🕘️更新时间,#genre#
DD Sports SD (1080p),http://10.0.0.66:8080/hls/4f48a616121b41cfb6a70425.m3u8
Deportes por Movistar Plus+,http://10.0.0.66:8080/hls/cbb0e315756368c0dc7dd73f.m3u8
Deportes TVC (1080p),http://10.0.0.66:8080/hls/3877611724b95f7e602f11a8.m3u8
Digi Sport 1,http://10.0.0.66:8080/hls/52ef9dc32f1f564faa759c43.m3u8
DiviSport (1080p),http://10.0.0.66:8080/hls/14b85230c6e224f0bef37034.m3u8
Dong Nai TV 2 (720p),http://10.0.0.66:8080/hls/282138ea08ba794449f99591.m3u8
DraftKings Network (1080p),http://10.0.0.66:8080/hls/cb9af8083ae26cffb4a3f262.m3u8
DSports (720p),http://10.0.0.66:8080/hls/c5724a939adbe49368986717.m3u8
Dynamo Kyiv TV (1080p),http://10.0.0.66:8080/hls/9a6faff46ee7832e7ab2fa80.m3u8
El-Heddaf TV (1080p),http://10.0.0.66:8080/hls/f952ed73c0899f5ef4385b79.m3u8
Equalympic (1080p),http://10.0.0.66:8080/hls/f70b5c86f94560a7b3d72884.m3u8
Equidia (1080p),http://10.0.0.66:8080/hls/be2c2867532b0e3dfd3d0002.m3u8
ERT Sports 1 (1080p),http://10.0.0.66:8080/hls/cfb819ce2f50f19d2bfb5baa.m3u8
ERT Sports 2 (1080p),http://10.0.0.66:8080/hls/8b03d2e16b50e81acf765e07.m3u8
ESPN8 The Ocho (1080p),http://10.0.0.66:8080/hls/33d7fe03c8eefdb26d85d3d0.m3u8
ESPNU (720p),http://10.0.0.66:8080/hls/515502d4f1c4968e98877071.m3u8
